1/01/1981	53.45
1/02/1981	192.57
1/03/1981	386.57
1/04/1981	176.06
1/05/1981	83.82
1/06/1981	41.35
1/07/1981	29.66
1/08/1981	18.84
1/09/1981	17.2
1/10/1981	14.57
1/11/1981	13.76
1/12/1981	30.91
1/01/1982	55.6
1/02/1982	162.63
1/03/1982	119.99
1/04/1982	157.66
1/05/1982	73.82
1/06/1982	49.7
1/07/1982	28.04
1/08/1982	19.45
1/09/1982	16.24
1/10/1982	29.36
1/11/1982	98.37
1/12/1982	402.49
1/01/1983	1052.97
1/02/1983	951.51
1/03/1983	1244.24
1/04/1983	949.95
1/05/1983	925.55
1/06/1983	618.72
1/07/1983	223.64
1/08/1983	58.71
1/09/1983	46.01
1/10/1983	43.54
1/11/1983	35.4
1/12/1983	86.62
1/01/1984	106.36
1/02/1984	407.18
1/03/1984	430.21
1/04/1984	391.67
1/05/1984	175.09
1/06/1984	79.85
1/07/1984	51.49
1/08/1984	36.17
1/09/1984	29.86
1/10/1984	33.25
1/11/1984	28.49
1/12/1984	50.42
1/01/1985	113.42
1/02/1985	108.88
1/03/1985	155.15
1/04/1985	99.97
1/05/1985	53.11
1/06/1985	32.81
1/07/1985	22.71
1/08/1985	17.43
1/09/1985	15.02
1/10/1985	12.38
1/11/1985	11.7
1/12/1985	35.71
1/01/1986	135.02
1/02/1986	254.55
1/03/1986	155.45
1/04/1986	317.22
1/05/1986	124.55
1/06/1986	52.6
1/07/1986	32.98
1/08/1986	22.44
1/09/1986	16.49
1/10/1986	13.14
1/11/1986	26.02
1/12/1986	25.23
1/01/1987	390.97
1/02/1987	613.91
1/03/1987	693.37
1/04/1987	611.29
1/05/1987	493.13
1/06/1987	136.11
1/07/1987	78.23
1/08/1987	57.53
1/09/1987	40.53
1/10/1987	39.01
1/11/1987	28.4
1/12/1987	21.56
1/01/1988	95.62
1/02/1988	244.21
1/03/1988	132.96
1/04/1988	127.03
1/05/1988	84.33
1/06/1988	45.29
1/07/1988	23.75
1/08/1988	17.64
1/09/1988	17.66
1/10/1988	15.29
1/11/1988	17.45
1/12/1988	26.14
1/01/1989	151.62
1/02/1989	549.42
1/03/1989	551.48
1/04/1989	299.81
1/05/1989	101.63
1/06/1989	60.08
1/07/1989	36.73
1/08/1989	24.39
1/09/1989	19.15
1/10/1989	21.01
1/11/1989	14.66
1/12/1989	16.39
1/01/1990	33.6
1/02/1990	102.9
1/03/1990	71.92
1/04/1990	156.49
1/05/1990	100.2
1/06/1990	45.49
1/07/1990	26.55
1/08/1990	18.59
1/09/1990	14.38
1/10/1990	14.73
1/11/1990	13.36
1/12/1990	14.74
1/01/1991	36.42
1/02/1991	89.09
1/03/1991	219.89
1/04/1991	134.02
1/05/1991	74.11
1/06/1991	43.92
1/07/1991	26.02
1/08/1991	17.61
1/09/1991	13.22
1/10/1991	11.64
1/11/1991	12.1
1/12/1991	22.88
1/01/1992	52.55
1/02/1992	152.37
1/03/1992	517.84
1/04/1992	469.63
1/05/1992	253.43
1/06/1992	88.02
1/07/1992	42.47
1/08/1992	26.05
1/09/1992	19.97
1/10/1992	14.65
1/11/1992	13.62
1/12/1992	15.31
1/01/1993	43.73
1/02/1993	291.91
1/03/1993	476.4
1/04/1993	495.18
1/05/1993	197.18
1/06/1993	73.99
1/07/1993	44.35
1/08/1993	28.16
1/09/1993	21.34
1/10/1993	18.83
1/11/1993	22.91
1/12/1993	50.7
1/01/1994	194.05
1/02/1994	347.89
1/03/1994	319.99
1/04/1994	324.41
1/05/1994	159.12
1/06/1994	73.7
1/07/1994	42.03
1/08/1994	26.29
1/09/1994	20.69
1/10/1994	17.36
1/11/1994	16.76
1/12/1994	31.62
1/01/1995	55.6
1/02/1995	141.67
1/03/1995	192.69
1/04/1995	145
1/05/1995	87.26
1/06/1995	48.44
1/07/1995	30.03
1/08/1995	18.77
1/09/1995	13.24
1/10/1995	11.31
1/11/1995	16.16
1/12/1995	22.69
1/01/1996	113.99
1/02/1996	184.38
1/03/1996	273.49
1/04/1996	148.02
1/05/1996	74.11
1/06/1996	42.52
1/07/1996	26.25
1/08/1996	16.81
1/09/1996	11.71
1/10/1996	11.14
1/11/1996	16.16
1/12/1996	22.69
1/01/1997	NA
1/02/1997	NA
1/03/1997	NA
1/04/1997	NA
1/05/1997	NA
1/06/1997	NA
1/07/1997	NA
1/08/1997	NA
1/09/1997	19.07
1/10/1997	23.34
1/11/1997	91.29
1/12/1997	395.84
1/01/1998	398.31
1/02/1998	580.56
1/03/1998	591
1/04/1998	593.61
1/05/1998	270.78
1/06/1998	99.18
1/07/1998	53.32
1/08/1998	37.03
1/09/1998	25.54
1/10/1998	20.1
1/11/1998	19.53
1/12/1998	17.23
1/01/1999	47.28
1/02/1999	332.99
1/03/1999	498.25
1/04/1999	223.52
1/05/1999	186.05
1/06/1999	71.23
1/07/1999	48.73
1/08/1999	NA
1/09/1999	24.98
1/10/1999	20.85
1/11/1999	17.81
1/12/1999	62.32
1/01/2000	81.68
1/02/2000	205.79
1/03/2000	416.6
1/04/2000	376.43
1/05/2000	201.5
1/06/2000	83.5
1/07/2000	51.72
1/08/2000	34.81
1/09/2000	29
1/10/2000	19.94
1/11/2000	15.24
1/12/2000	20.14
1/01/2001	73.1
1/02/2001	139.5
1/03/2001	322.19
1/04/2001	289.49
1/05/2001	NA
1/06/2001	NA
1/07/2001	35.78
1/08/2001	NA
1/09/2001	18.74
1/10/2001	12.54
1/11/2001	15.83
1/12/2001	15.02
1/01/2002	38.92
1/02/2002	115.38
1/03/2002	400.81
1/04/2002	478.02
1/05/2002	119.92
1/06/2002	56.73
1/07/2002	35.47
1/08/2002	24.01
1/09/2002	16.85
1/10/2002	16.5
1/11/2002	19.77
1/12/2002	34.34
1/01/2003	47.99
1/02/2003	117.81
1/03/2003	153.37
1/04/2003	155.42
1/05/2003	75.46
1/06/2003	41.79
1/07/2003	28.62
1/08/2003	18.84
1/09/2003	14.48
1/10/2003	13.01
1/11/2003	11.73
1/12/2003	22.47
1/01/2004	41.32
1/02/2004	124.77
1/03/2004	106.18
1/04/2004	157.89
1/05/2004	77.13
1/06/2004	44.5
1/07/2004	27.19
1/08/2004	17.65
1/09/2004	15.64
1/10/2004	15.68
1/11/2004	16.38
1/12/2004	24.05
1/01/2005	28.95
1/02/2005	107.14
1/03/2005	278.09
1/04/2005	144.56
1/05/2005	74.12
1/06/2005	37.55
1/07/2005	23.08
1/08/2005	16.56
1/09/2005	12.52
1/10/2005	12.51
1/11/2005	11.25
1/12/2005	15.64
1/01/2006	36.37
1/02/2006	239.39
1/03/2006	384.55
1/04/2006	276.42
1/05/2006	70.38
1/06/2006	42.98
1/07/2006	25.77
1/08/2006	19.03
1/09/2006	14.25
1/10/2006	11.54
1/11/2006	20.43
1/12/2006	74.44
1/01/2007	100.5
1/02/2007	125
1/03/2007	273.2
1/04/2007	226.23
1/05/2007	97.39
1/06/2007	58.32
1/07/2007	35.36
1/08/2007	23.23
1/09/2007	17.23
1/10/2007	13.63
1/11/2007	14.11
1/12/2007	17.26
1/01/2008	97.81
1/02/2008	465.81
1/03/2008	556.61
1/04/2008	421
1/05/2008	199.16
1/06/2008	80.25
1/07/2008	47.49
1/08/2008	33.45
1/09/2008	24.52
1/10/2008	21.81
1/11/2008	23.58
1/12/2008	28.65
1/01/2009	213.67
1/02/2009	449.73
1/03/2009	402.19
1/04/2009	213.15
1/05/2009	156.71
